distance,twoPs
1662,A9_A22
9000,A9_A23
1786,A9_A24
3282,A9_A25
7784,A9_A26
1789,A9_A27
5258,A9_A28
703,A9_A29
4990,A9_A30
2300,A9_A31
2282,A9_A32
1211,A9_A33
1879,A9_A34
3681,A9_A35
868,A9_A36
2335,A9_A37
7189,A9_A38
20942,A9_A39
2360,A9_A40
489,A9_A41
713,A9_A42
2537,A9_A43
2950,A9_A44
1546,A9_A45
3832,A9_A46
21875,A9_A47
2538,A9_A48
5030,A9_A49
12238,A9_A50
2145,A9_A51
1843,A9_A52
12149,A9_A53
4727,A9_A54
3701,A9_A55
4133,A9_A56
3451,A9_A57
2522,A9_A58
183,A9_A59
6347,A9_A60
2112,A9_A61
2614,A9_A62
4587,A9_A63
1360,A9_A64
2424,A9_A65
2985,A9_A66
2388,A9_A67
21534,A9_A68
1005,A9_A69
3129,A9_A70
3421,A9_A71
11819,A9_A72
4241,A9_A73
2191,A9_A74
3108,A9_A75
3697,A9_A76
21517,A9_A77
2279,A9_A78
2457,A9_A79
4329,A9_A80
5691,A9_A81
2309,A9_A82
2724,A9_A83
5570,A9_A84
3373,A9_A85
2050,A9_A86
1133,A9_A87
2178,A9_A88
2278,A9_A89
2784,A9_A90
1504,A9_A91
6772,A9_A92
5971,A9_A93
3800,A9_A94
2259,A9_A95
5536,A9_A96
1561,A9_A97
1767,A9_A98
2016,A9_A99
2499,A9_A100
0,A10_A10
227,A10_A11
4822,A10_A12
20907,A10_A13
11947,A10_A14
4124,A10_A15
499,A10_A16
206,A10_A17
997,A10_A18
1428,A10_A19
839,A10_A20
2945,A10_A21
1164,A10_A22
8440,A10_A23
1269,A10_A24
3166,A10_A25
7158,A10_A26
1457,A10_A27
5232,A10_A28
144,A10_A29
4371,A10_A30
1757,A10_A31
1674,A10_A32
932,A10_A33
1670,A10_A34
3521,A10_A35
542,A10_A36
1750,A10_A37
6938,A10_A38
20317,A10_A39
1737,A10_A40
233,A10_A41
1079,A10_A42
2009,A10_A43
2906,A10_A44
1429,A10_A45
3755,A10_A46
21247,A10_A47
2009,A10_A48
4973,A10_A49
11783,A10_A50
2126,A10_A51
1282,A10_A52
12090,A10_A53
4443,A10_A54
3654,A10_A55
3821,A10_A56
3122,A10_A57
2140,A10_A58
447,A10_A59
6338,A10_A60
1738,A10_A61
2475,A10_A62
4607,A10_A63
935,A10_A64
2118,A10_A65
2937,A10_A66
2043,A10_A67
20907,A10_A68
456,A10_A69
3085,A10_A70
3422,A10_A71
11633,A10_A72
3944,A10_A73
1623,A10_A74
3009,A10_A75
3657,A10_A76
20890,A10_A77
1948,A10_A78
1876,A10_A79
4103,A10_A80
5484,A10_A81
1796,A10_A82
2813,A10_A83
5344,A10_A84
3109,A10_A85
1524,A10_A86
1439,A10_A87
1800,A10_A88
2104,A10_A89
2295,A10_A90
1499,A10_A91
6628,A10_A92
5727,A10_A93
3527,A10_A94
1632,A10_A95
5539,A10_A96
1005,A10_A97
1184,A10_A98
1911,A10_A99
2022,A10_A100
0,A11_A11
4760,A11_A12
21111,A11_A13
12003,A11_A14
4036,A11_A15
704,A11_A16
61,A11_A17
774,A11_A18
1214,A11_A19
1054,A11_A20
2895,A11_A21
1230,A11_A22
8555,A11_A23
1349,A11_A24
3071,A11_A25
7364,A11_A26
1435,A11_A27
5112,A11_A28
254,A11_A29
4584,A11_A30
1983,A11_A31
1894,A11_A32
873,A11_A33
1597,A11_A34
3443,A11_A35
702,A11_A36
1975,A11_A37
6899,A11_A38
20523,A11_A39
1911,A11_A40
48,A11_A41
855,A11_A42
2234,A11_A43
2786,A11_A44
1318,A11_A45
3649,A11_A46
21451,A11_A47
2235,A11_A48
4863,A11_A49
11837,A11_A50
2231,A11_A51
1394,A11_A52
11986,A11_A53
4415,A11_A54
3537,A11_A55
3803,A11_A56
3110,A11_A57
2148,A11_A58
282,A11_A59
6215,A11_A60
1938,A11_A61
2619,A11_A62
4472,A11_A63
953,A11_A64
2090,A11_A65
2818,A11_A66
2033,A11_A67
21111,A11_A68
679,A11_A69
2966,A11_A70
3290,A11_A71
11572,A11_A72
3920,A11_A73
1849,A11_A74
2907,A11_A75
3538,A11_A76
21095,A11_A77
2140,A11_A78
2102,A11_A79
4051,A11_A80
5427,A11_A81
1875,A11_A82
2654,A11_A83
5294,A11_A84
3069,A11_A85
1749,A11_A86
1225,A11_A87
1804,A11_A88
2023,A11_A89
2362,A11_A90
1353,A11_A91
6549,A11_A92
5684,A11_A93
3492,A11_A94
1840,A11_A95
5411,A11_A96
1112,A11_A97
1314,A11_A98
1803,A11_A99
2080,A11_A100
0,A12_A12
20748,A12_A13
8197,A12_A14
892,A12_A15
5202,A12_A16
4820,A12_A17
4772,A12_A18
4160,A12_A19
4838,A12_A20
1882,A12_A21
3844,A12_A22
6248,A12_A23
3821,A12_A24
1781,A12_A25
8081,A12_A26
3381,A12_A27
1432,A12_A28
4681,A12_A29
6338,A12_A30
5688,A12_A31
5190,A12_A32
3894,A12_A33
3163,A12_A34
1348,A12_A35
5335,A12_A36
5423,A12_A37
2214,A12_A38
20277,A12_A39
4377,A12_A40
4713,A12_A41
4481,A12_A42
5903,A12_A43
2208,A12_A44
3473,A12_A45
1407,A12_A46
21021,A12_A47
5904,A12_A48
1128,A12_A49
8008,A12_A50
6934,A12_A51
3972,A12_A52
7408,A12_A53
785,A12_A54
1619,A12_A55
1292,A12_A56
1881,A12_A57
2832,A12_A58
4954,A12_A59
2211,A12_A60
6208,A12_A61
7195,A12_A62
1680,A12_A63
3924,A12_A64
2734,A12_A65
2170,A12_A66
2850,A12_A67
20747,A12_A68
5071,A12_A69
2060,A12_A70
1986,A12_A71
6812,A12_A72
1137,A12_A73
5486,A12_A74
1968,A12_A75
1644,A12_A76
20736,A12_A77
6457,A12_A78
5515,A12_A79
741,A12_A80
675,A12_A81
3488,A12_A82
2737,A12_A83
598,A12_A84
1744,A12_A85
5634,A12_A86
4176,A12_A87
3111,A12_A88
2744,A12_A89
3104,A12_A90
3542,A12_A91
1850,A12_A92
1023,A12_A93
1374,A12_A94
4880,A12_A95
1784,A12_A96
4097,A12_A97
4122,A12_A98
3007,A12_A99
3203,A12_A100
0,A13_A13
16190,A13_A14
21212,A13_A15
20634,A13_A16
21109,A13_A17
21861,A13_A18
21957,A13_A19
20070,A13_A20
20566,A13_A21
20221,A13_A22
14738,A13_A23
20088,A13_A24
21205,A13_A25
13750,A13_A26
20563,A13_A27
22177,A13_A28
20861,A13_A29
16562,A13_A30
19394,A13_A31
19271,A13_A32
20867,A13_A33
20878,A13_A34
20981,A13_A35
20807,A13_A36
19262,A13_A37
20252,A13_A38
736,A13_A39
19248,A13_A40
21092,A13_A41
21819,A13_A42
19222,A13_A43
21522,A13_A44
21146,A13_A45
21488,A13_A46
426,A13_A47
19223,A13_A48
21873,A13_A49
16314,A13_A50
21039,A13_A51
19927,A13_A52
24559,A13_A53
20060,A13_A54
21647,A13_A55
19963,A13_A56
20032,A13_A57
20105,A13_A58
21351,A13_A59
22697,A13_A60
19975,A13_A61
20544,A13_A62
22312,A13_A63
20557,A13_A64
20436,A13_A65
21507,A13_A66
20299,A13_A67
5,A13_A68
20555,A13_A69
21553,A13_A70
21845,A13_A71
22167,A13_A72
20041,A13_A73
19437,A13_A74
21278,A13_A75
21680,A13_A76
25,A13_A77
19996,A13_A78
19156,A13_A79
20535,A13_A80
20674,A13_A81
19731,A13_A82
22060,A13_A83
20491,A13_A84
20412,A13_A85
19651,A13_A86
21979,A13_A87
20273,A13_A88
20946,A13_A89
19512,A13_A90
21413,A13_A91
21437,A13_A92
20325,A13_A93
20286,A13_A94
19275,A13_A95
22509,A13_A96
20170,A13_A97
19932,A13_A98
21184,A13_A99
19745,A13_A100
0,A14_A14
9067,A14_A15
12100,A14_A16
12049,A14_A17
12358,A14_A18
11921,A14_A19
11487,A14_A20
9474,A14_A21
10784,A14_A22
4494,A14_A23
10679,A14_A24
9762,A14_A25
9338,A14_A26
10631,A14_A27
9183,A14_A28
11812,A14_A29
10174,A14_A30
11764,A14_A31
11263,A14_A32
11204,A14_A33
10646,A14_A34
9325,A14_A35
12297,A14_A36
11455,A14_A37
6325,A14_A38
15963,A14_A39
10549,A14_A40
11957,A14_A41
12114,A14_A42
11835,A14_A43
10226,A14_A44
11026,A14_A45
9570,A14_A46
16327,A14_A47
11836,A14_A48
9061,A14_A49
