bay_id,st_marker_id,status,location,lat,lon
81,13468,Unoccupied,"-37.81928509171959, 144.9456648823642",-37.81928509171959,144.9456648823642
82,13462,Unoccupied,"-37.81934787252672, 144.94544727639087",-37.81934787252672,144.9454472763909
83,13474,Unoccupied,"-37.819224043291186, 144.94587653547987",-37.81922404329119,144.94587653547987
84,13459,Unoccupied,"-37.81945306092163, 144.94508390432554",-37.81945306092163,144.94508390432554
85,13458,Present,"-37.819462228059706, 144.94505207133466",-37.819462228059706,144.94505207133466
86,20873,Present,"-37.81965171259904, 144.94522942383873",-37.81965171259904,144.94522942383873
87,23327,Present,"-37.81435616659575, 144.94702122484716",-37.81435616659575,144.94702122484716
88,23809,Unoccupied,"-37.801540753735395, 144.95657406700008",-37.8015407537354,144.95657406700008
89,23813,Unoccupied,"-37.801752658776124, 144.95653692637592",-37.80175265877613,144.95653692637592
90,23814,Unoccupied,"-37.801804011275756, 144.9565276642555",-37.80180401127576,144.9565276642555
91,23818,Unoccupied,"-37.802259120145905, 144.956111416491",-37.80225912014591,144.956111416491
92,23820,Unoccupied,"-37.80229572545588, 144.95606434069094",-37.80229572545588,144.95606434069094
93,23822,Unoccupied,"-37.80233233074564, 144.9560174801706",-37.80233233074564,144.9560174801706
94,12374,Present,"-37.80272051016685, 144.9558265785349",-37.80272051016685,144.9558265785349
95,23854,Unoccupied,"-37.81594993614149, 144.94548317121416",-37.81594993614149,144.94548317121416
96,23949,Present,"-37.814009654929826, 144.94250274022065",-37.81400965492983,144.94250274022065
97,23950,Present,"-37.81395547303987, 144.94241936136666",-37.81395547303987,144.94241936136666
98,13422,Present,"-37.819651735483134, 144.9443942508119",-37.819651735483134,144.9443942508119
99,13421,Present,"-37.81966017751691, 144.94436525980058",-37.81966017751691,144.94436525980058
100,13419,Present,"-37.81967704280686, 144.94430733730348",-37.81967704280686,144.94430733730348
101,13409,Unoccupied,"-37.81976057027469, 144.9440204565685",-37.81976057027469,144.9440204565685
102,13406,Unoccupied,"-37.81979073706932, 144.9439168233416",-37.81979073706932,144.9439168233416
103,13445,Unoccupied,"-37.81958204930639, 144.9443183313782",-37.81958204930639,144.9443183313782
104,13443,Unoccupied,"-37.8196193349215, 144.94419041305463",-37.8196193349215,144.94419041305463
105,9577,Present,"-37.80445744820359, 144.94947479885843",-37.80445744820359,144.94947479885843
106,9602,Unoccupied,"-37.80433748542305, 144.94930520244114",-37.80433748542305,144.94930520244114
107,9614,Present,"-37.80402735287548, 144.94935981771476",-37.80402735287548,144.94935981771476
108,9645,Unoccupied,"-37.80506857670618, 144.94866664392407",-37.80506857670618,144.94866664392407
109,10881,Unoccupied,"-37.8054036903569, 144.95032337641243",-37.8054036903569,144.95032337641243
110,11180,Unoccupied,"-37.80334873390626, 144.94818444750695",-37.80334873390626,144.94818444750695
111,11792,Present,"-37.80036682792239, 144.95561421977789",-37.80036682792239,144.95561421977789
112,11945,Present,"-37.801487464073716, 144.95499366817333",-37.80148746407372,144.95499366817333
113,11946,Unoccupied,"-37.80144941756687, 144.95504183917427",-37.80144941756687,144.95504183917427
114,12080,Present,"-37.80050247808248, 144.9537767273619",-37.80050247808248,144.9537767273619
115,12079,Present,"-37.80054259851089, 144.9537259933569",-37.80054259851089,144.9537259933569
116,20900,Unoccupied,"-37.82104247671526, 144.9469826337899",-37.82104247671526,144.9469826337899
117,20917,Unoccupied,"-37.820407736201105, 144.94542628297077",-37.82040773620111,144.94542628297077
118,20595,Unoccupied,"-37.81961260672621, 144.94705838269516",-37.81961260672621,144.94705838269516
119,21488,Unoccupied,"-37.81988588475426, 144.9469829072478",-37.81988588475426,144.9469829072478
120,21490,Unoccupied,"-37.81973323100084, 144.94691548226297",-37.81973323100084,144.94691548226297
121,20612,Present,"-37.821026782015025, 144.94543750360327",-37.82102678201503,144.94543750360327
122,20922,Unoccupied,"-37.82025386018664, 144.94603543376553",-37.82025386018664,144.94603543376553
123,15334,Unoccupied,"-37.81872821366156, 144.94793249908238",-37.81872821366156,144.94793249908238
124,13469,Unoccupied,"-37.819275643895985, 144.9456976588041",-37.81927564389599,144.9456976588041
125,13450,Present,"-37.8195423167917, 144.94477530907477",-37.8195423167917,144.94477530907477
126,23329,Unoccupied,"-37.814339727847695, 144.94708320619606",-37.814339727847695,144.94708320619606
127,23812,Unoccupied,"-37.80169912578287, 144.95654615974553",-37.80169912578287,144.95654615974553
128,23850,Unoccupied,"-37.81572604089479, 144.94538428508568",-37.81572604089479,144.94538428508568
129,21371,Present,"-37.82015012912085, 144.948668441355",-37.82015012912085,144.948668441355
130,13424,Unoccupied,"-37.81963489144847, 144.944451308009",-37.81963489144847,144.944451308009
131,13909,Unoccupied,"-37.801898950985745, 144.9562881529929",-37.80189895098575,144.9562881529929
132,20927,Unoccupied,"-37.82084640688114, 144.9461931378909",-37.82084640688114,144.9461931378909
133,20929,Present,"-37.82095581172835, 144.94622049774958",-37.82095581172835,144.94622049774958
