GISID,SegID,the_geom,StreetID,StatusID,SegPart,StrType,DTUpdate,PolyArea,SegDescr
955,22284,"-37.833372600673755, 144.98480370181414",369,2,1,Council Major,20210923,1788,Acland Street between Anderson Street and Walsh Street
2106,22429,"-37.78586627640868, 144.95366499892154",601,2,1,Council Major,20210923,4616,Elliott Avenue between MacArthur Road and Kendall Avenue
2403,30454,"-37.80970311025704, 144.94740671060438",2851,4,1,Private,20210923,11,Pl5110
1684,20700,"-37.79701183402039, 144.9699079537972",1202,3,1,Council Minor,20210923,186,Aplin Place from Sutton Place
2686,20993,"-37.80513030139519, 144.94919877412175",0,2,1,Council Major,20210923,1240,Intersection of Victoria Street and Errol Street
3026,20111,"-37.815492540849945, 144.9665344609931",0,2,1,Council Major,20210923,913,Intersection of Swanston Street and Collins Street
3395,20325,"-37.813116653242176, 144.96455086424217",1196,3,1,Council Minor,20210923,253,Albion Alley from Little Bourke Street
2351,21776,"-37.79229230826132, 144.9226196936438",1428,3,1,Council Minor,20210923,108,Peppercorn Walk between Woodruff Street and McTaggart Street
2706,21093,"-37.80269351724136, 144.95077333893477",747,3,1,Council Minor,20210923,169,Jones Lane from Leveson Street
2141,22840,"-37.795512942868896, 144.92416510418911",117792,2,1,Council Major,20210923,604,Fisken Place between Newton Street and Fisken Walk
1976,20764,"-37.8003740002787, 144.96749022100283",117748,3,1,Council Minor,20210923,270,Beard Place from Lygon Street
1455,21573,"-37.811117041446245, 144.9899199441119",375,2,1,Council Major,20210923,5244,Albert Street between Hoddle Street and Simpson Street
3196,20247,"-37.81521836330962, 144.97342323779162",1085,3,1,Council Minor,20210923,375,Spark Lane from Flinders Street
108,30159,"-37.811561692128365, 144.96927660552447",2997,4,1,Private,20210923,14,Pl5237
153,23356,"-37.79266597908152, 144.97026104636848",59,3,1,Council Minor,20210923,54,CL1205 from Princes Street
4126,30882,"-37.8199042677959, 144.9762896983522",120160,4,5,Private,20210923,625,Tanderrum Bridge
3210,20233,"-37.81161232134794, 144.97077449834765",911,3,1,Council Minor,20210923,169,Mornane Place from Exhibition Street
1027,22737,"-37.83543812434928, 144.98103202875367",884,2,1,Council Major,20210923,165,Mason Street between Randall Place and St Martins Lane
2959,21253,"-37.793119004257655, 144.9452484163572",585,2,1,Council Major,20210923,2993,Dryburgh Street between Brougham Street and Curran Street
1774,20608,"-37.80035779744184, 144.97438529638862",931,1,1,Arterial,20210923,796,Nicholson Street between Owen Street and Murchison Street
2056,22339,"-37.79511553251321, 144.9530426579504",649,2,1,Council Major,20210923,2839,Gatehouse Street between Story Street and Morrah Street
1308,21464,"-37.80838886931213, 144.94701295550618",1035,2,1,Council Major,20210923,5536,Roden Street between Adderley Street and Spencer Street
2922,21216,"-37.79678427231839, 144.94459322074013",585,2,1,Council Major,20210923,2767,Dryburgh Street between Wood Street and Canning Street
3894,22819,"-37.81976217739057, 144.95176458623448",526,2,2,Council Major,20210923,1784,Collins Street between Spencer Street and Batmans Hill Drive
1418,21883,"-37.81315212829789, 144.98707248377713",656,2,1,Council Major,20210923,4022,Gipps Street between Simpson Street and Powlett Street
938,22266,"-37.83050984674319, 144.9844231637943",383,2,1,Council Major,20210923,429,Intersection of Anderson Street and Clowes Street
3473,20161,"-37.810130603792366, 144.9640689080038",1114,2,1,Council Major,20210923,2875,Swanston Street between Little Lonsdale Street and La Trobe Street
41,30068,"-37.80881084803591, 144.935517587878",3097,8,1,River,20210923,261,Moonee Ponds Creek
3467,20167,"-37.812811146431564, 144.9625002286165",599,2,1,Council Major,20210923,2844,Elizabeth Street between Little Bourke Street and Lonsdale Street
867,22093,"-37.82867416269994, 144.97135815406997",1056,1,1,Arterial,20210923,2732,Intersection of St Kilda Road and Coventry Street
2321,21746,"-37.79902732311256, 144.92741116102732",381,2,1,Council Major,20210923,1169,Altona Street between Tennyson Street and Ormond Street
1581,20527,"-37.802815395428254, 144.9665741711845",840,2,1,Council Major,20210923,912,Intersection of Lygon Street and Pelham Street
3144,22558,"-37.82483533170003, 144.93612462960493",1387,2,1,Council Major,20210923,1225,Intersection of Rogers Street and Ingles Street
1040,22750,"-37.843064436279484, 144.985496585708",1004,1,1,Arterial,20210923,301,Intersection of Punt Road and Pasley Street South
3332,20392,"-37.81764710274728, 144.96392857531353",898,3,1,Council Minor,20210923,205,Mill Place from Flinders Lane
803,21962,"-37.81608822876659, 144.98258680892508",0,1,1,Arterial,20210923,918,Intersection of Wellington Parade and Clarendon Street
2994,21321,"-37.79596375519585, 144.93948785526146",847,1,1,Arterial,20210923,2640,MacAulay Road between Gracie Street and Canning Street
3667,22011,"-37.82752559036918, 144.95736632559573",1367,3,1,Council Minor,20210923,1031,Blakeney Place from Clarendon Street
3700,22044,"-37.826738492180745, 144.96119752463267",1359,1,1,Arterial,20210923,1493,Intersection of Kings Way and Kavanagh Street
2459,30525,"-37.80930649543097, 144.94992748645316",2852,4,1,Private,20210923,80,PL5111
603,23016,"-37.78981429775527, 144.92575586914987",119669,2,1,Council Major,20210923,2169,Liddy Street between Market Street and Youlden Street
1143,21483,"-37.810549270048256, 144.9489014260185",586,1,1,Arterial,20210923,5514,Dudley Street between Adderley Street and Spencer Street
1674,20710,"-37.79891395912335, 144.96949671137986",621,2,1,Council Major,20210923,3035,Faraday Street between Rathdowne Street and Drummond Street
1982,20758,"-37.799624666137326, 144.96636213042999",575,3,1,Council Minor,20210923,1988,Dorrit Street between Grattan Street and Faraday Street
945,22273,"-37.83007080042253, 144.986402987813",1155,2,1,Council Major,20210923,2030,Walsh Street between Clowes Street and Alexandra Avenue
2107,22430,"-37.78826520277262, 144.9546328823658",845,1,1,Arterial,20210923,4327,MacArthur Road between The Avenue and Elliott Avenue
2769,21180,"-37.79879951527952, 144.95185770158102",687,2,1,Council Major,20210923,6154,Harcourt Street between Courtney Street and Flemington Road
2312,21738,"-37.798671153970155, 144.9270815439653",0,2,1,Council Major,20210923,309,Intersection of Ormond Street and Altona Street
2800,21074,"-37.80089696887663, 144.94924847169412",395,2,1,Council Major,20210923,2990,Arden Street between Errol Street and Curzon Street
1957,20786,"-37.797266693600356, 144.9664339020258",69,3,1,Council Minor,20210923,23,Cl1325 between Elgin Street and Miller Lane
133,30194,"-37.81332555541003, 144.97243815994815",1029,4,1,Private,20210923,44,Ridgway Place
3663,22007,"-37.826493629690845, 144.95488709950234",1368,1,1,Arterial,20210923,22774,Normanby Road between Clarendon Street and West Gate Freeway
3923,23267,"-37.813066205014216, 144.9407085335384",120039,3,1,Council Minor,20210923,1554,Saint Mangos Lane North from Docklands Drive
1035,22745,"-37.84148074371558, 144.9858191131805",1004,1,1,Arterial,20210923,213,Intersection of Punt Road and Pasley Street North
3902,30828,"-37.805450335874106, 144.93497606305505",3223,9,1,Rail/Tram,20210923,1714,South Dynon Railway
4054,30862,"-37.80613156935802, 144.94578930114938",2971,4,1,Private,20210923,21,PL5214
1504,22502,"-37.80188624847771, 144.9581075957906",975,2,1,Council Major,20210923,1513,Pelham Street between Berkeley Street and Elizabeth Street
217,30287,"-37.79736885172337, 144.97154616821723",1489,4,1,Private,20210923,46,PL5016
1941,20805,"-37.80292701175128, 144.96429524487522",477,3,1,Council Minor,20210923,506,Canada Lane between Cardigan Street and Swanston Street
2991,21318,"-37.79592767934408, 144.9367282580759",774,2,1,Council Major,20210923,243,Intersection of Langford Street and Steel Street
2619,20925,"-37.803869873442494, 144.95693785403438",1008,2,1,Council Major,20210923,1959,Queensberry Street between Cobden Street and Peel Street
3964,22904,"-37.81425031954228, 144.94370302507625",117864,16,1,Road Safety Act,20210923,1576,Newquay Promenade between Harbour Esplanade and Palmyra Way
2608,22644,"-37.82583012732772, 144.97876117895134",117764,12,2,Citylink,20210923,16,Southern Link Road between Westgate Freeway and Punt Road
1673,20711,"-37.79958755872288, 144.96938200856962",1145,3,1,Council Minor,20210923,607,University Street between Rathdowne Street and Drummond Street
4094,23321,"-37.82028587142203, 144.94105693331213",120149,6,1,Lease/Reserve,20210923,414,Tom Thumb Lane between Collins Street and Victoria Harbour Promenade
1990,20750,"-37.80387754588795, 144.96589447586723",1043,3,1,Council Minor,20210923,421,Rush Place from Argyle Place South
373,22928,"-37.77940705455627, 144.9419638066434",119263,2,1,Council Major,20210923,1172,Garrard Street between Oak Street and Parkville Avenue
3655,22158,"-37.82128093207311, 144.92874474995648",1370,1,1,Arterial,20210923,7766,Lorimer Street between Graham Street and Hall Street
2754,21145,"-37.80061962221038, 144.9500547203933",607,2,1,Council Major,20210923,1525,Errol Street between Arden Street and O'Shanassy Street
3888,23243,"-37.792673390659544, 144.94113443977363",119784,3,1,Council Minor,20210923,388,Crow Place between Buncle Street and Pearl Street
741,30728,"-37.81101845737953, 144.96563061380266",117922,4,1,Private,20210923,156,Shilling Lane
3442,20192,"-37.81585357855784, 144.955485901307",761,1,1,Arterial,20210923,2891,King Street between Bourke Street and Little Bourke Street
3872,30816,"-37.824479141041536, 144.94921307515597",119769,4,1,Private,20210923,453,Wright Walk
702,22518,"-37.80072425427217, 144.9451973280353",1201,3,1,Council Minor,20210923,105,Andersons Lane between Arden Street and Little Lothian Street North
3440,20194,"-37.81390123000989, 144.95458394654594",761,1,1,Arterial,20210923,2816,King Street between Lonsdale Street and Little Lonsdale Street
760,22776,"-37.79307270016999, 144.9222833196065",1173,2,1,Council Major,20210923,3706,Westbourne Road between Belmont Road and Bayswater Road
1446,21582,"-37.81070372730821, 144.98615904856422",0,2,1,Council Major,20210923,911,Intersection of Albert Street and Powlett Street
3087,20030,"-37.812816786712496, 144.9526773255852",780,2,1,Council Major,20210923,6066,La Trobe Street between King Street and Spencer Street
1864,22387,"-37.7832332885349, 144.9595743854056",1041,1,1,Arterial,20210923,18091,Royal Parade between Ievers Street and Walker Street
930,22235,"-37.83462985561617, 144.9863759201288",572,2,1,Council Major,20210923,2965,Domain Road between Walsh Street and Punt Road
300,30383,"-37.80201449569531, 144.9546225986912",2952,4,1,Private,20210923,79,Pl5197
1902,20844,"-37.800681007316754, 144.9632752664503",820,3,1,Council Minor,20210923,467,Little Grattan Street from Grattan Street
236,30314,"-37.801748830765135, 144.94744180834832",2956,4,1,Private,20210923,13,Pl5201
3785,22168,"-37.8259313184541, 144.90508743408446",1370,2,1,Council Major,20210923,40406,Lorimer Street between West Gate Bridge and Todd Road
2817,20906,"-37.7961876408486, 144.944722224441",0,2,1,Council Major,20210923,1278,Intersection of Dryburgh Street and Canning Street
631,23199,"-37.785791266520256, 144.91958380827595",605,1,1,Arterial,20210923,663,Intersection of Epsom Road and Flemington Drive
1617,20487,"-37.802070549403126, 144.96369288856647",1114,2,1,Council Major,20210923,1970,Swanston Street between Pelham Street and Lincoln Square North
2065,22348,"-37.7949214449539, 144.95585183534774",1183,2,1,Council Major,20210923,2155,Wimble Street between Morrah Street and Park Drive
1832,20549,"-37.79883353077401, 144.96875813228252",0,2,1,Council Major,20210923,914,Intersection of Drummond Street and Faraday Street
1549,20723,"-37.80111726349264, 144.96733043821916",117941,3,1,Council Minor,20210923,168,Watt Lane from Grattan Street
2973,21297,"-37.79925846352849, 144.93993981034023",639,2,1,Council Major,20210923,2106,Fogarty Street between Arden Street and Green Street
3681,22025,"-37.82765129967621, 144.95951421301686",0,2,1,Council Major,20210923,245,Intersection of Clarke Street and Hancock Street
335,30431,"-37.795218433308506, 144.94376113040303",1068,4,1,Private,20210923,160,Shands Lane
2656,20963,"-37.80337774551808, 144.95257959842434",0,2,1,Council Major,20210923,911,Intersection of Queensberry Street and Chetwynd Street
979,22230,"-37.83429736142653, 144.98368121995975",572,2,1,Council Major,20210923,453,Intersection of Domain Road and Anderson Street
