street_marker,RequestTime,tripDistance,aim_marker,lon,lat
A664,1,3500.0,A1664,-73.93193817138672,40.69738006591797
A665,1,4120.0,A1665,-73.9418716430664,40.8383903503418
A666,1,1290.0,A1666,-73.99629211425781,40.732383728027344
A667,1,3130.0,A1667,-73.99285888671875,40.7568473815918
A668,1,500.0,A1668,-73.98942565917967,40.748043060302734
A669,1,5070.0,A1669,-74.00594329833984,40.73570251464844
A670,1,2400.0,A1670,-74.0020751953125,40.734912872314446
A671,1,3800.0,A1671,-73.99074554443358,40.72818756103516
A672,1,910.0,A1672,-73.98258209228516,40.7677001953125
A673,1,800.0,A1673,-74.00753784179686,40.72579193115234
A674,1,2200.0,A1674,-73.99230194091797,40.747661590576165
A675,1,600.0,A1675,-73.97238922119139,40.75944900512695
A676,1,3100.0,A1676,-73.96503448486328,40.75939178466797
A677,1,5900.0,A1677,-73.99012756347656,40.72004699707031
A678,1,4700.0,A1678,-73.99416351318358,40.746196746826165
A679,1,1990.0,A1679,-73.97477722167967,40.759368896484375
A680,1,2600.0,A1680,-73.9866943359375,40.73003768920898
A681,1,920.0,A1681,-73.98899841308595,40.75836944580078
A682,1,600.0,A1682,-73.98899841308595,40.75338745117188
A683,1,1160.0,A1683,-73.97423553466798,40.76354217529297
A684,1,4580.0,A1684,-73.97242736816406,40.793983459472656
A685,1,2350.0,A1685,-73.96681976318358,40.756591796875
A686,1,5840.0,A1686,-73.9886703491211,40.764041900634766
A687,1,1480.0,A1687,-74.00245666503906,40.7265510559082
A688,1,3100.0,A1688,-74.00814056396483,40.71692657470703
A689,1,6600.0,A1689,-73.98113250732422,40.73383331298828
A690,1,4490.0,A1690,-73.9761962890625,40.75115966796875
A691,1,2090.0,A1691,-73.96844482421875,40.76232147216797
A692,1,9600.0,A1692,-73.87096405029298,40.77378845214844
A693,1,1200.0,A1693,-73.98356628417967,40.74707794189453
A694,1,1420.0,A1694,-73.98770141601561,40.74074172973633
A695,1,1560.0,A1695,-73.96134948730467,40.762603759765625
A696,1,3900.0,A1696,-73.95677185058595,40.786651611328125
A697,1,2190.0,A1697,-73.95591735839844,40.77218246459961
A698,1,780.0,A1698,-73.98214721679686,40.75991439819336
A699,1,940.0,A1699,-73.99134063720702,40.74478149414063
A700,1,7190.0,A1700,-73.97486877441406,40.7572021484375
A701,1,3610.0,A1701,-73.98880004882812,40.73670959472656
A702,1,2290.0,A1702,-73.98065185546875,40.748291015625
A703,1,2760.0,A1703,-73.99566650390625,40.72342300415039
A704,1,2700.0,A1704,-74.00420379638672,40.75186920166016
A1705,1,850.0,A1705,-73.9822769165039,40.76416015625
A706,1,1800.0,A1706,-73.9555435180664,40.77961349487305
A707,1,2120.0,A1707,-73.9862289428711,40.75217056274414
A708,1,960.0,A1708,-73.99066162109375,40.7612419128418
A709,1,2900.0,A1709,-73.98627471923827,40.76171112060546
A710,1,3500.0,A1710,-73.9923324584961,40.724807739257805
A711,1,600.0,A1711,-73.97134399414062,40.7952537536621
A712,1,1400.0,A1712,-73.9950942993164,40.74489212036133
A713,1,1200.0,A1713,-73.98418426513672,40.73219680786133
A714,1,930.0,A1714,-73.99275970458984,40.75934600830078
A1688,1,1850.0,A1715,-73.97885131835938,40.740848541259766
A716,1,510.0,A1716,-73.98648071289062,40.76660919189453
A717,1,10700.0,A1717,-73.87293243408203,40.774261474609375
A718,1,4490.0,A1718,-73.98858642578125,40.69813537597656
A719,1,1800.0,A1719,-73.98882293701173,40.758522033691406
A720,1,1100.0,A1720,-73.95259857177734,40.6700553894043
A721,1,1680.0,A1721,-73.9920883178711,40.71495056152344
A722,1,22760.0,A1722,-73.78988647460938,40.64362716674805
A723,1,5650.0,A1723,-73.98445129394531,40.74267959594727
A724,1,4290.0,A1724,-73.98321533203125,40.78154754638672
A725,1,900.0,A1725,-73.9777603149414,40.74237060546875
A726,1,14300.0,A1726,-73.8659896850586,40.77170181274414
A727,1,2300.0,A1727,-73.99019622802734,40.76236343383789
A728,1,6550.0,A1728,-73.98143768310547,40.78084945678711
A729,1,700.0,A1729,-73.9851837158203,40.72343063354492
A730,1,700.0,A1730,-73.9940414428711,40.74339294433594
A731,1,2090.0,A1731,-73.99476623535155,40.75027847290039
A732,1,2000.0,A1732,-73.98302459716798,40.76660537719727
A733,1,570.0,A1733,-73.98773193359375,40.74430847167969
A734,2,820.0,A1734,-73.99551391601561,40.71711349487305
A735,2,2600.0,A1735,-73.99990844726561,40.71819305419922
A736,2,3900.0,A1736,-73.98782348632812,40.73255157470703
