,DeviceId,ArrivalTime,DepartureTime,duration*60,Area
544,20509,1486524585,1486532189,7200,Queensberry
545,17228,1486524588,1486524715,7200,Docklands
546,20548,1486524588,1486524672,7200,Queensberry
547,19895,1486524588,1486525253,7200,Queensberry
548,17301,1486524590,1486524638,7200,Docklands
549,20366,1486524590,1486525731,7200,Queensberry
550,21368,1486525142,1486525316,600,Southbank
551,17622,1486525143,1486534884,7200,Docklands
552,20368,1486525143,1486527125,7200,Queensberry
553,21717,1486525149,1486548831,7200,Southbank
554,21878,1486525155,1486525451,900,Southbank
555,21387,1486525155,1486525438,7200,Southbank
556,17557,1486525156,1486532008,7200,Docklands
557,17242,1486525159,1486526155,900,Docklands
558,21522,1486525161,1486535544,10800,Southbank
559,21435,1486525161,1486525544,7200,Southbank
560,21648,1486525164,1486528219,10800,Southbank
561,21362,1486525175,1486525426,3600,Southbank
562,17691,1486525178,1486525818,1800,Docklands
563,17559,1486525181,1486529970,7200,Docklands
564,17597,1486525185,1486526463,7200,Docklands
565,17442,1486525185,1486526337,300,Docklands
566,17495,1486525190,1486526439,7200,Docklands
567,21402,1486525192,1486525199,7200,Southbank
568,17628,1486525197,1486525561,7200,Docklands
569,21402,1486525199,1486532304,7200,Southbank
570,17524,1486525740,1486526527,7200,Docklands
571,20300,1486525740,1486530330,14400,Queensberry
572,20423,1486525745,1486539449,14400,Queensberry
573,17603,1486525746,1486526971,1800,Docklands
574,17291,1486525746,1486526289,7200,Docklands
575,21639,1486525747,1486527799,7200,Southbank
576,21370,1486525750,1486525867,600,Southbank
577,17176,1486525751,1486525973,7200,Docklands
578,21876,1486525752,1486525874,7200,Southbank
579,17372,1486525753,1486527288,900,Docklands
580,17707,1486525759,1486526044,900,Docklands
581,20539,1486525762,1486531367,7200,Queensberry
582,17722,1486525765,1486528234,1800,Docklands
583,17754,1486525765,1486527459,7200,Docklands
584,21700,1486525765,1486526392,10800,Southbank
585,17596,1486525766,1486525877,7200,Docklands
586,17270,1486525771,1486526125,900,Docklands
587,17219,1486525772,1486531013,7200,Docklands
588,17714,1486525777,1486526090,900,Docklands
589,17417,1486525779,1486525900,900,Docklands
590,20282,1486525785,1486531100,14400,Queensberry
591,17420,1486525787,1486526061,7200,Docklands
592,20459,1486525791,1486526851,900,Queensberry
593,20341,1486525794,1486526458,900,Queensberry
594,17578,1486525795,1486525801,3600,Docklands
595,17615,1486525796,1486526249,7200,Docklands
596,20131,1486525797,1486540031,14400,Queensberry
597,17355,1486526340,1486526488,900,Docklands
598,17210,1486526346,1486527218,7200,Docklands
599,20370,1486526346,1486526733,7200,Queensberry
600,20547,1486526346,1486527271,7200,Queensberry
601,21351,1486526347,1486527363,7200,Southbank
602,17644,1486526348,1486527848,900,Docklands
603,20373,1486526348,1486526749,7200,Queensberry
604,17435,1486526349,1486526584,600,Docklands
